party,seats_won,seats_2nd,seats_3rd,seats_4th,total_votes,vote_pct
Tamilaga Vettri Kazhagam,107,75,51,0,17226030,34.92
Dravida Munnetra Kazhagam,60,79,37,0,11928996,24.19
All India Anna Dravida Munnetra Kazhagam,47,44,81,0,10462146,21.21
Indian National Congress,5,11,12,0,1661312,3.37
Pattali Makkal Katchi,4,5,9,0,1070745,2.17
Viduthalai Chiruthaigal Katchi,2,4,2,0,540056,1.09
Communist Party of India,2,1,2,0,326488,0.66
Communist Party of India (Marxist),2,1,2,0,293817,0.6
Indian Union Muslim League,2,0,0,0,142465,0.29
Bharatiya Janata Party,1,8,24,0,1466979,2.97
Desiya Murpokku Dravida Kazhagam,1,4,5,0,589500,1.2
Amma Makkal Munnettra Kazagam,1,1,9,0,425345,0.86
Naam Tamilar Katchi,0,0,0,227,1972520,4.0
Independent,0,1,0,1,524740,1.06
None of the Above,0,0,0,0,199800,0.41
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,0,0,0,3,133473,0.27
Puthiya Tamilagam,0,0,0,0,93652,0.19
Tamizhaga Vaazhvurimai Katchi,0,0,0,2,74809,0.15
Bahujan Samaj Party,0,0,0,0,53369,0.11
Aanaithinthiya Jananayaka Pathukappu Kazhagam,0,0,0,1,22964,0.05
Republican Party of India (Athawale),0,0,0,0,11047,0.02
Naadaalum Makkal Katchi,0,0,0,0,9715,0.02
Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,0,0,0,5624,0.01
Samaniya Makkal Nala Katchi,0,0,0,0,5144,0.01
Anti Corruption Dynamic Party,0,0,0,0,4558,0.01
Naam Indiar Party,0,0,0,0,4474,0.01
All India Forward Bloc,0,0,0,0,4455,0.01
Party for the Rights of Other backward Classes,0,0,0,0,4101,0.01
Thamizhaka Padaippalar Makkal Katchi,0,0,0,0,4020,0.01
Communist Party of India (Marxist-Leninist) (Liberation),0,0,0,0,3983,0.01
Vishwa Tamil Kazhagam,0,0,0,0,3576,0.01
Ganasangam Party of India,0,0,0,0,3235,0.01
Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,0,0,0,0,3034,0.01
Puthiya Makkal Tamil Desam Katchi,0,0,0,0,2651,0.01
Thakkam Katchi,0,0,0,0,2416,0.0
Desiya Makkal Sakthi Katchi,0,0,0,0,2279,0.0
Indhu Dravida Makkal Katchi,0,0,0,0,2112,0.0
Tamilar Makkal Katchi,0,0,0,0,2056,0.0
Rashtriya Samaj Dal (R),0,0,0,0,1760,0.0
Republican Party of India,0,0,0,0,1692,0.0
Tamilaga Makkal Nala Katchi,0,0,0,0,1555,0.0
Nam Naadu Nam Makkal Nam Ethirkaalam Katchi,0,0,0,0,1466,0.0
Anaithinthiya Anna Dravida Makkal Seyal katchi,0,0,0,0,1462,0.0
All India Jananayaka Makkal Kazhagam,0,0,0,0,1415,0.0
All India Youth Development Party,0,0,0,0,1203,0.0
Anna Makkal Katchi,0,0,0,0,1197,0.0
Thamizh Desiya Munnetra Kazhagam,0,0,0,0,1109,0.0
Vanchit Bahujan Aaghadi,0,0,0,0,1027,0.0
Makkal Arasial Katchi,0,0,0,0,1008,0.0
Tamizhaga Murpokku Makkal Katchi,0,0,0,0,998,0.0
Ezhuchi Tamilargal Munnetra Kazhagam,0,0,0,0,802,0.0
Communist Party of India (Marxist-Leninist) Red Star,0,0,0,0,790,0.0
Bahujan Dravida Party,0,0,0,0,780,0.0
Republican Party of India (A),0,0,0,0,763,0.0
Namadhu Makkal Katchi,0,0,0,0,756,0.0
Samata Party,0,0,0,0,712,0.0
Tamil Telugu National Party,0,0,0,0,642,0.0
Socialist Unity Centre Of India (COMMUNIST),0,0,0,0,642,0.0
Vada Tamil Nadu Munnetra Katchi,0,0,0,0,635,0.0
Nationalist Janshakti Party,0,0,0,0,588,0.0
Jebamani Janata,0,0,0,0,586,0.0
All India Uzhavargal Uzhaippalargal Katchi,0,0,0,0,578,0.0
Mannin Maithargal Kazhagam,0,0,0,0,524,0.0
Our Mahathma National Party,0,0,0,0,508,0.0
Thamizh Perarasu Katchi,0,0,0,0,505,0.0
Viro Ke Vir Indian Party,0,0,0,0,498,0.0
Dravida Jananayaga Makkal Katchi,0,0,0,0,486,0.0
New Generation People's Party,0,0,0,0,476,0.0
Makkal Nalvaazhvuk Katchi,0,0,0,0,461,0.0
Indian National League,0,0,0,0,457,0.0
Akila Inthiya Makkal Marumalarchi Kazhakam,0,0,0,0,425,0.0
MAKKAL SAKTHI KATCHI,0,0,0,0,424,0.0
Rashtriya Janata Dal,0,0,0,0,402,0.0
Tamil Nadu Ilangyar Katchi,0,0,0,0,355,0.0
Ahimsa Socialist Party,0,0,0,0,321,0.0
Tamil Manila Murpokku Dravida Kazhagam,0,0,0,0,319,0.0
Democratic National Allegiance,0,0,0,0,311,0.0
Makkal Munnetra Katchi,0,0,0,0,305,0.0
Anna MGR Dravida Makkal Kalgam,0,0,0,0,295,0.0
Parivartan Rajniti Party,0,0,0,0,291,0.0
Makkal Nala Kazhagam,0,0,0,0,285,0.0
Ahila India Dhayaga Makkal Munnetra Katchi,0,0,0,0,283,0.0
Desa Makkal Munnetrak Kazhagam,0,0,0,0,278,0.0
National Maha Sabha Party,0,0,0,0,278,0.0
Bharat Jan Chikitsa Party,0,0,0,0,276,0.0
Periyar Ambedkar Munnetra Kazhagam (PAMK),0,0,0,0,274,0.0
Kamarajar Deseeya Congress,0,0,0,0,244,0.0
Vidial Valarchi Perani,0,0,0,0,235,0.0
India Suyarajya Party,0,0,0,0,224,0.0
Anaithindia Samudaya Munnetra Kazhagam,0,0,0,0,224,0.0
Viduthalai Kalam Katchi,0,0,0,0,211,0.0
Namathu Kongu Munnetra Kalagam,0,0,0,0,200,0.0
Thamizhaga Munnetra Congress,0,0,0,0,186,0.0
Bharatha Makkal Katchi,0,0,0,0,183,0.0
All India Majlis-E-Inquilab-E-Millat,0,0,0,0,168,0.0
Makkal Sananayaga Kudiyarasu Katchi,0,0,0,0,149,0.0
MGR Makkal Katchi,0,0,0,0,131,0.0
Proutist Sarva Samaj,0,0,0,0,130,0.0
Thamizhaga Dravidar Katchi,0,0,0,0,120,0.0
Makkal Murasu Katchi,0,0,0,0,94,0.0
Indian Christian Front,0,0,0,0,85,0.0
Indhia Kudiarasu Katchi,0,0,0,0,82,0.0
Tamilnadu Mahatma Gandhi Makkal Katchi,0,0,0,0,71,0.0
ALL PENSIONER'S PARTY,0,0,0,0,55,0.0
Makkalatchi Katchi,0,0,0,0,46,0.0
